epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9766.79,inf,0.40855,0.88902,0.93908,0.93936,0.96321,0.92656,0.14168,0.27188,0.16701,0.0005941,0.0005941,0.0005941
43,9980.72,0.04964,0.40835,0.88733,0.93962,0.93952,0.96292,0.92646,0.15589,0.28495,0.18551,0.0005842,0.0005842,0.0005842
44,10194.7,0.05147,0.41179,0.88835,0.94042,0.93992,0.96014,0.92454,0.15843,0.32958,0.19029,0.0005743,0.0005743,0.0005743
45,10411,0.05119,0.40797,0.88863,0.94027,0.93958,0.95712,0.92273,0.16023,0.68708,0.19274,0.0005644,0.0005644,0.0005644
46,10630.1,inf,0.41069,0.88831,0.93945,0.94056,0.95465,0.92033,0.16258,1.41004,0.1962,0.0005545,0.0005545,0.0005545
47,10854.6,inf,0.40527,0.88782,0.93959,0.94127,0.95394,0.91913,0.16119,2.99029,0.1939,0.0005446,0.0005446,0.0005446
48,11084.8,inf,0.40563,0.88895,0.93791,0.94166,0.9533,0.91813,0.16345,6.03905,0.19731,0.0005347,0.0005347,0.0005347
49,11331.1,0.04559,0.39863,0.88723,0.93579,0.94201,0.95045,0.91663,0.16214,13.1344,0.19639,0.0005248,0.0005248,0.0005248
50,11563.1,inf,0.39911,0.88741,0.93676,0.94073,0.95016,0.91502,0.16109,25.2166,0.19559,0.0005149,0.0005149,0.0005149
51,11793.5,inf,0.40204,0.88792,0.93698,0.93619,0.94896,0.91383,0.15687,41.3865,0.19026,0.000505,0.000505,0.000505
52,12029.5,0.04775,0.40366,0.89031,0.93805,0.93167,0.94769,0.91294,0.15317,56.0039,0.18577,0.0004951,0.0004951,0.0004951
53,12262.8,0.04847,0.40577,0.88786,0.93752,0.9271,0.94487,0.91009,0.15045,68.7964,0.18285,0.0004852,0.0004852,0.0004852
54,12494.4,inf,0.40136,0.88872,0.93737,0.92217,0.9425,0.90677,0.14895,69.9678,0.18233,0.0004753,0.0004753,0.0004753
55,12726.9,inf,0.41861,0.88759,0.92652,0.92649,0.94587,0.90927,0.1531,32.6208,0.19015,0.0004654,0.0004654,0.0004654
56,12957.9,0.0605,0.44534,0.89266,0.90131,0.9191,0.94704,0.90875,0.15922,14.1691,0.20114,0.0004555,0.0004555,0.0004555
57,13193.4,0.06733,0.46579,0.89385,0.89042,0.81737,0.95053,0.91149,0.16412,4.02424,0.21225,0.0004456,0.0004456,0.0004456
58,13416.8,0.07682,0.482,0.89694,0.74119,0.86847,0.94861,0.91134,0.17268,0.89002,0.23641,0.0004357,0.0004357,0.0004357
59,13633.1,0.08329,0.49098,0.89886,0.71321,0.85025,0.69366,0.66795,0.1686,1.29472,0.2834,0.0004258,0.0004258,0.0004258
60,13851.5,0.08895,0.50223,0.90268,0.54062,0.91238,0.64438,0.60678,0.33352,2.28991,0.50962,0.0004159,0.0004159,0.0004159
