epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21466.2,0.04945,0.40216,0.8882,0.94047,0.93851,0.96357,0.92915,0.12417,0.24491,0.14713,0.0005941,0.0005941,0.0005941
43,21994.3,0.04938,0.40172,0.88666,0.93839,0.94043,0.96359,0.92897,0.12316,0.24415,0.14638,0.0005842,0.0005842,0.0005842
44,22506.4,0.05091,0.40557,0.88669,0.93959,0.94008,0.96373,0.92905,0.12184,0.24232,0.14481,0.0005743,0.0005743,0.0005743
45,23023,0.05087,0.40237,0.88561,0.94007,0.94007,0.96369,0.92919,0.12069,0.24007,0.14289,0.0005644,0.0005644,0.0005644
46,23532.4,0.05045,0.40278,0.8861,0.93846,0.94118,0.96386,0.92944,0.11914,0.23821,0.14063,0.0005545,0.0005545,0.0005545
47,24040.2,inf,0.39927,0.88535,0.93774,0.94147,0.9638,0.92955,0.11768,0.23578,0.13908,0.0005446,0.0005446,0.0005446
48,24552.5,inf,0.39624,0.88757,0.94078,0.93821,0.96385,0.92952,0.11738,0.23541,0.13926,0.0005347,0.0005347,0.0005347
49,25059.5,0.04383,0.38852,0.88639,0.94153,0.93812,0.96401,0.92964,0.11747,0.23563,0.13971,0.0005248,0.0005248,0.0005248
50,25562.3,inf,0.38671,0.88623,0.9414,0.93794,0.96406,0.92961,0.11736,0.23588,0.13937,0.0005149,0.0005149,0.0005149
51,26066,inf,0.391,0.88657,0.9415,0.93806,0.96408,0.92973,0.11707,0.23641,0.13944,0.000505,0.000505,0.000505
52,26572.6,0.0457,0.39259,0.88904,0.94059,0.93965,0.96403,0.92951,0.11636,0.23682,0.13917,0.0004951,0.0004951,0.0004951
53,27080.3,inf,0.39235,0.88692,0.93828,0.94281,0.96452,0.92934,0.11641,0.23885,0.13995,0.0004852,0.0004852,0.0004852
54,27584.6,0.0446,0.38512,0.88718,0.93815,0.94278,0.96033,0.92611,0.11659,0.25359,0.14085,0.0004753,0.0004753,0.0004753
55,28094,inf,0.38797,0.88489,0.93995,0.94098,0.95645,0.92273,0.11726,0.48561,0.14198,0.0004654,0.0004654,0.0004654
56,28604.8,0.0432,0.38527,0.88719,0.94363,0.93847,0.95498,0.92031,0.11806,1.28933,0.14284,0.0004555,0.0004555,0.0004555
57,29116.2,inf,0.385,0.88591,0.94286,0.93761,0.9502,0.91628,0.11786,2.88523,0.1421,0.0004456,0.0004456,0.0004456
58,29633.1,0.04173,0.38262,0.88611,0.94526,0.9357,0.9434,0.91187,0.06834,5.22311,0.08695,0.0004357,0.0004357,0.0004357
59,30149,0.04231,0.37866,0.88577,0.96685,0.90197,0.92678,0.90094,0.06837,9.74425,0.08642,0.0004258,0.0004258,0.0004258
60,30667.5,0.04207,0.38101,0.88682,0.97415,0.88644,0.91015,0.89153,0.06859,17.2652,0.08608,0.0004159,0.0004159,0.0004159
61,31186.3,0.04075,0.37909,0.88649,0.9754,0.87967,0.90876,0.8896,0.06822,30.4853,0.08571,0.000406,0.000406,0.000406
62,31826.2,0.04313,0.38054,0.88519,0.97629,0.87645,0.90734,0.88876,0.06806,50.7058,0.08522,0.0003961,0.0003961,0.0003961
63,32624.9,inf,0.37747,0.88766,0.97745,0.87151,0.9048,0.88775,0.06788,71.2032,0.08515,0.0003862,0.0003862,0.0003862
64,33446.2,inf,0.37436,0.88662,0.97906,0.86692,0.90331,0.88694,0.06768,88.9244,0.0851,0.0003763,0.0003763,0.0003763
65,34199.5,0.04117,0.3797,0.88689,0.98102,0.86131,0.90214,0.88598,0.06771,inf,0.08501,0.0003664,0.0003664,0.0003664
66,34720.6,inf,0.37628,0.88718,0.98186,0.85734,0.8996,0.88331,0.06781,inf,0.08489,0.0003565,0.0003565,0.0003565
67,35244.4,inf,0.38721,0.88629,0.98029,0.85706,0.89647,0.88147,0.06779,inf,0.08464,0.0003466,0.0003466,0.0003466
68,35784.2,inf,0.41004,0.88944,0.97674,0.8627,0.89815,0.88237,0.06778,inf,0.08429,0.0003367,0.0003367,0.0003367
69,36311.6,0.06218,0.44618,0.89278,0.96634,0.87249,0.90241,0.88217,0.06773,79.6811,0.08449,0.0003268,0.0003268,0.0003268
70,36843.1,0.06826,0.4733,0.89461,0.92392,0.8583,0.88557,0.86156,0.0691,44.0117,0.08767,0.0003169,0.0003169,0.0003169
71,37369.5,0.06924,0.481,0.89591,0.77268,0.76571,0.8057,0.77491,0.06659,20.8013,0.09786,0.000307,0.000307,0.000307
